Thermocouple 0 (deg C)	Thermocouple 1 (deg C)	Thermocouple 2 (deg C)	Thermocouple 3 (deg C)
80.615	87.858	91.019	96.651
79.367	85.032	92.372	98.225
80.275	84.919	89.891	97.663
80.502	86.842	89.214	95.413
79.254	88.310	93.499	96.314
82.202	84.353	91.583	97.776
81.635	85.824	91.808	97.213
81.635	85.372	93.048	96.876
80.502	86.955	93.048	96.539
79.254	84.919	90.793	96.876
82.768	85.711	91.357	96.988
78.800	85.145	91.808	98.225
82.315	85.259	92.823	96.988
80.048	85.259	90.568	96.651
82.202	87.971	89.665	97.776
83.108	85.032	89.552	98.113
81.862	86.050	91.357	97.776
79.481	88.536	91.245	98.113
82.655	87.858	90.568	97.326
82.542	87.294	92.936	96.651
80.842	87.746	91.921	97.776
80.502	87.294	93.612	96.651
82.768	88.762	91.583	98.450
81.749	87.746	93.950	98.001
81.522	86.955	90.004	97.438
81.182	88.310	91.132	97.326
81.862	86.729	94.062	97.888
81.182	86.502	92.823	95.751
82.882	85.711	91.470	97.213
80.048	84.919	91.583	95.976
81.069	86.955	94.062	98.338
81.522	86.729	93.274	97.663
81.182	85.259	90.793	95.863
80.162	85.598	92.034	95.301
83.108	88.649	92.372	97.326
80.275	88.762	91.132	97.326
84.014	88.875	94.062	97.438
82.089	86.389	92.259	98.338
80.162	87.858	90.568	95.301
80.729	88.197	91.357	99.349
83.674	87.181	92.823	96.764
83.561	86.276	90.681	98.675
80.729	89.214	91.245	97.551
83.901	87.520	91.696	95.526
80.615	87.294	91.019	99.462
84.467	86.389	94.287	95.638
83.674	86.163	94.287	99.799
80.388	85.598	91.696	98.225
83.335	88.649	92.598	98.675
83.787	87.407	92.259	97.776
83.221	86.276	93.386	99.462
81.522	89.327	93.274	99.124
82.882	86.615	92.823	99.349
83.335	88.875	91.696	98.450
82.768	87.407	93.724	98.900
84.693	89.891	92.936	98.900
84.014	87.633	92.598	99.237
80.615	86.502	92.485	97.213
82.089	88.988	94.963	98.787
82.882	87.633	94.625	96.201
84.127	90.342	94.175	96.201
81.975	89.101	95.526	96.876
82.429	86.389	92.259	96.876
82.768	90.342	93.612	99.012
81.862	88.762	93.048	99.237
81.182	89.778	95.638	98.450
82.655	86.615	93.724	99.012
83.221	89.439	93.837	97.551
82.768	87.068	91.808	96.988
82.315	86.842	94.400	99.349
84.014	89.214	95.188	96.314
84.580	89.439	95.863	96.988
81.975	90.342	95.751	98.787
82.315	90.342	92.372	99.911
82.089	88.649	93.499	98.001
84.919	88.423	92.823	98.338
82.315	89.214	92.598	99.012
84.919	90.568	94.062	98.338
85.032	90.793	91.921	99.349
85.032	89.778	92.936	97.101
81.635	88.762	95.638	96.764
83.561	90.568	95.076	96.876
82.995	88.875	95.751	97.438
84.467	87.407	93.386	98.787
82.429	89.778	92.485	98.787
84.127	87.407	95.751	100.697
83.901	88.649	95.638	98.338
82.202	89.891	94.850	100.248
83.221	91.245	93.499	100.023
83.108	88.197	93.386	98.787
83.787	88.423	94.625	97.888
85.824	89.101	92.485	100.697
83.674	88.649	93.274	100.248
86.163	90.568	95.526	101.258
84.014	91.245	95.076	97.663
85.711	88.423	94.175	100.248
85.259	90.004	96.651	97.101
86.276	90.004	94.400	98.900
83.787	90.117	95.076	98.900
82.315	87.971	95.188	98.225
82.768	87.746	94.287	98.001
82.542	91.470	93.724	100.472
84.806	87.746	93.612	100.922
86.163	88.197	95.751	100.360
82.655	88.084	96.651	101.371
84.014	89.891	95.976	100.697
83.108	90.906	95.076	99.237
83.561	91.357	93.274	99.799
85.937	91.470	96.539	98.675
85.032	90.681	94.400	100.136
86.955	91.132	96.764	101.707
85.598	88.084	95.526	101.146
84.240	91.245	95.188	99.462
82.882	90.455	95.413	99.799
86.842	89.552	94.175	100.809
84.580	89.552	95.413	101.932
86.842	89.101	94.175	99.012
86.729	88.762	96.988	98.787
86.842	90.681	94.175	101.820
84.919	91.583	93.274	99.686
86.163	89.665	96.201	98.563
83.787	90.229	94.062	101.820
87.520	91.921	94.062	100.360
87.294	90.229	97.101	98.338
84.467	89.665	96.314	99.462
87.633	90.681	96.089	100.360
86.389	91.019	94.738	101.820
87.746	88.875	97.213	98.900
85.485	89.327	96.314	100.922
86.276	92.147	97.326	100.922
87.294	92.936	97.663	98.225
83.674	92.485	97.326	101.146
86.842	91.245	96.089	99.349
86.389	93.048	94.738	101.820
87.858	90.568	95.863	101.371
87.181	92.485	97.551	98.450
84.240	89.439	94.287	98.787
87.971	90.568	97.101	100.585
84.353	89.778	96.988	102.156
86.050	91.357	95.076	101.820
85.485	90.117	97.326	101.371
84.467	92.372	95.301	100.922
85.598	89.778	96.988	99.124
88.310	92.823	97.326	99.237
85.032	91.921	94.625	100.922
85.485	93.048	97.663	101.820
86.729	90.681	94.513	101.707
87.633	90.681	97.326	101.932
85.711	93.499	96.988	98.787
86.389	89.891	95.638	101.034
87.858	91.583	94.963	101.707
85.824	89.665	94.850	99.012
86.955	91.921	95.076	102.269
86.615	89.891	94.513	101.932
85.259	93.274	98.675	102.830
84.580	90.004	97.776	99.911
84.693	93.612	98.001	101.146
86.050	91.132	97.326	102.717
85.824	92.485	96.876	101.371
86.050	91.132	96.314	101.258
85.372	91.470	95.301	100.922
84.806	93.386	95.751	99.686
84.806	93.048	98.113	102.044
